k_shot,rmse,mae,r2,n_predictions
1,15.024626968089054,11.3084542875107,0.6941046454111346,130914
3,14.483654484521772,10.856451090090085,0.7157441610704678,130896
5,13.845265819240625,10.228077628464469,0.7402635169295305,130878
10,13.692774388867749,10.079453858403571,0.7459539962681196,130833
20,13.547344764931678,9.943007510905968,0.7512992103079302,130743
